"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x79540f1c0a833a93:0x4f40eb1da70f340","+18083292076","Pacific States Legal Group","Pacific States Legal Group, 75-5995 Kuakini Hwy Suite 432, Kailua-Kona, HI 96740, United States","19.627231","-155.9807899","7","4.4","Pacific/Honolulu","https://www.konalawyer.com/","ChIJkzqDChwPVHkRQPNw2rEO9AQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540f1c0a833a93:0x4f40eb1da70f340","Divorce lawyer, Family law attorney, Personal injury attorney, Real estate attorney","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","9AM5PM","9AM5PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipM2SWX8PqGzOsK26x_Yq3BfNkPIBz2TzI7h7Ufe=w203-h106-k-no","Closed  Opens 9AM",""
"0x795406ebed83ad7f:0x4cae2fc6a67c14e5","+18083274650","Public Defenders Office In Kona","Public Defenders Office In Kona, 75-1000 Henry St # 209, Kailua-Kona, HI 96740, United States","19.6443676","-155.9884605","11","4.3","Pacific/Honolulu","https://publicdefender.hawaii.gov/","ChIJf62D7esGVHkR5RR8psYvrkw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x795406ebed83ad7f:0x4cae2fc6a67c14e5","Attorney","","7:45AM4:30PM","7:45AM4:30PM","7:45AM4:30PM","Closed","Closed","7:45AM4:30PM","7:45AM4:30PM","Kailua-Kona, HI, United States","true","","Closed  Opens 7:45AM",""
"0x79540ef87b9a68cf:0x49f1c778a3ed0b6c","+18087567022","R. Hermann Heimgartner Attorney At Law LLLC","R. Hermann Heimgartner Attorney At Law LLLC, 74-5606 Pawai Pl Suite 205, Kailua-Kona, HI 96740, United States","19.6433242","-155.9983093","6","4.3","Pacific/Honolulu","http://www.kona.attorney/","ChIJz2iae_gOVHkRbAvto3jH8Uk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540ef87b9a68cf:0x49f1c778a3ed0b6c","Law firm","","9AM4PM","9AM4PM","9AM4PM","Closed","Closed","9AM4PM","9AM4PM","Kailua-Kona, HI, United States","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tHrFPSOourg3jI-F_50aRA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=186.8105&pitch=0&thumbfov=100","Closed  Opens 9AM",""
"0x79540f3f525ab187:0x33d26fe05fefc0af","+18084985058","William T. Reece Jr., J.D., Llm., Attorney At Law","","19.6643315","-155.955527","13","3.5","Pacific/Honolulu","http://www.reecelawkona.com/","ChIJh7FaUj8PVHkRr8DvX-Bv0jM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540f3f525ab187:0x33d26fe05fefc0af","Law firm, Service establishment","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","","true","https://lh5.googleusercontent.com/p/AF1QipNUa2zdhjcVlXqwfpUskLGr-f2S01h4YfmFj2TI=w203-h114-k-no","Open 24 hours",""
"0x79540f00a84bf8a1:0x82f64782cb4c9d3d","+18085368074","Hawaii Disability Legal Services, LLLC","Hawaii Disability Legal Services, LLLC, 75-170 Hualalai Rd ste a100, Kailua-Kona, HI 96740, United States","19.6373927","-155.9889213","7","5","Pacific/Honolulu","http://www.hawaiidisabilitylegal.com/","ChIJofhLqAAPVHkRPZ1My4JH9oI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540f00a84bf8a1:0x82f64782cb4c9d3d","Law firm, Social security attorney, Veterans organization","","8AM4PM","8AM4PM","8AM4PM","Closed","Closed","8AM4PM","8AM4PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipOdmVDjes-I2BQ15AuVcfGqayyq3O6bx7nfjQTo=w203-h152-k-no","Closed  Opens 8AM",""
"0x79540efc943c6435:0x98858ff6d4d520c","+18083262220","Sarah J Smith Law Office","Sarah J Smith Law Office, 75-170 Hualalai Rd # D120, Kailua-Kona, HI 96740, United States","19.637390999999997","-155.9890867","3","4.7","Pacific/Honolulu","","ChIJNWQ8lPwOVHkRDFJNbf9YiAk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540efc943c6435:0x98858ff6d4d520c","Attorney","","","","","","","","","Kailua-Kona, HI, United States","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sKubScG5OmzpOc0S5Q64yA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=192.52965&pitch=0&thumbfov=100","",""
"0x79540efc943c6435:0xd998be193860c63","+18083264852","Jung & Vassar","Jung & Vassar, 75-5722 Kuakini Hwy #100, Kailua-Kona, HI 96740, United States","19.6395992","-155.9915608","3","3.7","Pacific/Honolulu","http://jungvassar.com/","ChIJNWQ8lPwOVHkRYwyGk-GLmQ0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540efc943c6435:0xd998be193860c63","Attorney","","8:30AM5PM","8:30AM5PM","8:30AM5PM","Closed","Closed","8:30AM5PM","8:30AM5PM","Kailua-Kona, HI, United States","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HMOMEahz5V-IA4b_LGk_YQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=264.56177&pitch=0&thumbfov=100","Closed  Opens 8:30AM",""
"0x79540f1b4ffcbd25:0xacf646ef152bb785","+18082292190","Mattoch & Kirley, LLLC","Mattoch & Kirley, LLLC, 74-5706 Hanama Pl Suite 201A, Kailua-Kona, HI 96740, United States","19.640016799999998","-155.9923313","4","4","Pacific/Honolulu","https://www.mattochkirley.com/?npcmp=dir:local:5291992:96813","ChIJJb38TxsPVHkRhbcrFe9G9qw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540f1b4ffcbd25:0xacf646ef152bb785","Personal injury attorney","","8AM5PM","8AM5PM","8AM5PM","Closed","Closed","8AM5PM","8AM5PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipNftFyg4IYcBMU1TBVsCzLuD1joZy9dIMEoSAK3=w203-h114-k-no","Closed  Opens 8AM",""
"0x79540efc9a39c4dd:0x5f6cc501a8c0bfed","+18089898390","Donna V. Payesko. Attorney","Donna V. Payesko. Attorney, 75-165 Hualalai Rd #203, Kailua-Kona, HI 96740, United States","19.6382065","-155.9888777","3","4.7","Pacific/Honolulu","http://www.ohanalegacylaw.com/","ChIJ3cQ5mvwOVHkR7b_AqAHFbF8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540efc9a39c4dd:0x5f6cc501a8c0bfed","Estate planning attorney","","","","","","","","","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipMg10rD-uj1l6eSh0RU3fPGy0fr0CE2nFOFWm9e=w203-h114-k-no","",""
"0x79540ef915b0dbed:0x8a557c7ab6c7f034","+18083273030","Andrea Alden, Attorney at Law, LLLC","Andrea Alden, Attorney at Law, LLLC, 75-5665 Kuakini Hwy Ste 5, Kailua-Kona, HI 96740, United States","19.6412347","-155.9945627","5","3.4","Pacific/Honolulu","","ChIJ7duwFfkOVHkRNPDHtnp8VYo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540ef915b0dbed:0x8a557c7ab6c7f034","Divorce lawyer, Family law attorney","","8AM5PM","8AM5PM","8AM5PM","Closed","Closed","8AM5PM","8AM5PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipN2EXOwu8pUbX2VAV-JkRpSkMyEF2nV1TZzuHad=w203-h114-k-no","Closed  Opens 8AM",""
